X,Y,Class,Bin_Code
147.1300414,-41.3727351,Rubbish Bin,W
147.1383557,-41.37472545,Rubbish Bin,W
147.1292436,-41.37726035,Rubbish Bin,W
147.129079,-41.37735212,Rubbish Bin,W
147.1273239,-41.38471376,Rubbish Bin,W
147.126255,-41.38874679,Rubbish Bin,W
147.1312364,-41.37397426,Rubbish Bin,W
147.1309216,-41.37450765,Rubbish Bin,W
147.130969,-41.37351565,Rubbish Bin,W
147.1307894,-41.37322525,Rubbish Bin,W
147.1307879,-41.37333341,Rubbish Bin,W
147.1307803,-41.37333806,Rubbish Bin,W
147.1307706,-41.37334411,Rubbish Bin,W
147.1307567,-41.37334497,Rubbish Bin,W
147.1782502,-41.46939752,Rubbish Bin,W
147.1773853,-41.46857361,Rubbish Bin,W
147.1750893,-41.46583837,Rubbish Bin,W
147.1771195,-41.45522668,Rubbish Bin,W
147.1765933,-41.45494467,Rubbish Bin,W
147.1759659,-41.45418647,Rubbish Bin,W
147.1763605,-41.45424546,Rubbish Bin,W
147.1750054,-41.45500048,Rubbish Bin,W
147.1648649,-41.46743775,Rubbish Bin,W
147.1650048,-41.46735814,Rubbish Bin,W
147.1651651,-41.46730528,Rubbish Bin,W
147.1653032,-41.46723374,Rubbish Bin,W
147.1654584,-41.46716693,Rubbish Bin,W
147.1677749,-41.48601218,Rubbish Bin,W
147.1676291,-41.48660474,Rubbish Bin,W
147.1716371,-41.48497354,Rubbish Bin,W
147.1675134,-41.48478112,Rubbish Bin,W
147.1665951,-41.47972922,Rubbish Bin,W
147.165245,-41.47696474,Rubbish Bin,W
147.1612752,-41.4694477,Rubbish Bin,W
147.1329998,-41.44108005,Rubbish Bin,W
147.1320164,-41.44031536,Rubbish Bin,W
147.1330876,-41.44040082,Rubbish Bin,W
147.1334733,-41.44022043,Rubbish Bin,W
147.1265848,-41.46591345,Rubbish Bin,W
147.1368746,-41.47041606,Rubbish Bin,W
147.1270073,-41.45284181,Rubbish Bin,W
147.130888,-41.44482556,Rubbish Bin,W
147.1418199,-41.43909867,Rubbish Bin,W
147.1409732,-41.43867237,Rubbish Bin,W
147.1414381,-41.43918163,Rubbish Bin,W
147.1515174,-41.43898852,Rubbish Bin,W
147.1462198,-41.43530013,Rubbish Bin,W
147.1459197,-41.43529355,Rubbish Bin,W
147.1456893,-41.43560497,Rubbish Bin,W
147.1573779,-41.43211678,Rubbish Bin,W
147.1568709,-41.43234298,Rubbish Bin,W
147.1651645,-41.43678742,Rubbish Bin,W
147.1651009,-41.43651791,Rubbish Bin,W
